trial,a,gcd,branch,period,factor_1,factor_2,success
1,10,5,gcd,,5,3,True
2,11,1,quantum,2,5,3,True
3,5,5,gcd,,5,3,True
4,5,5,gcd,,5,3,True
5,5,5,gcd,,5,3,True
6,7,1,quantum,4,3,5,True
7,6,3,gcd,,3,5,True
8,7,1,quantum,4,3,5,True
9,2,1,quantum,4,3,5,True
10,13,1,quantum,4,3,5,True
11,9,3,gcd,,3,5,True
12,2,1,quantum,4,3,5,True
13,6,3,gcd,,3,5,True
14,9,3,gcd,,3,5,True
15,14,1,quantum,2,,,False
16,9,3,gcd,,3,5,True
17,8,1,quantum,4,3,5,True
18,3,3,gcd,,3,5,True
19,7,1,quantum,4,3,5,True
20,8,1,quantum,4,3,5,True
21,3,3,gcd,,3,5,True
22,9,3,gcd,,3,5,True
23,13,1,quantum,4,3,5,True
24,12,3,gcd,,3,5,True
25,5,5,gcd,,5,3,True
26,2,1,quantum,4,3,5,True
27,3,3,gcd,,3,5,True
28,13,1,quantum,4,3,5,True
29,8,1,quantum,4,3,5,True
30,6,3,gcd,,3,5,True
31,3,3,gcd,,3,5,True
32,12,3,gcd,,3,5,True
33,7,1,quantum,4,3,5,True
34,14,1,quantum,2,,,False
35,6,3,gcd,,3,5,True
36,12,3,gcd,,3,5,True
37,8,1,quantum,4,3,5,True
38,8,1,quantum,4,3,5,True
39,12,3,gcd,,3,5,True
40,10,5,gcd,,5,3,True
41,5,5,gcd,,5,3,True
42,8,1,quantum,4,3,5,True
43,2,1,quantum,4,3,5,True
44,7,1,quantum,4,3,5,True
45,11,1,quantum,2,5,3,True
46,14,1,quantum,2,,,False
47,5,5,gcd,,5,3,True
48,11,1,quantum,2,5,3,True
49,7,1,quantum,4,3,5,True
50,4,1,quantum,2,3,5,True
51,2,1,quantum,4,3,5,True
52,14,1,quantum,2,,,False
53,3,3,gcd,,3,5,True
54,5,5,gcd,,5,3,True
55,9,3,gcd,,3,5,True
56,11,1,quantum,2,5,3,True
57,14,1,quantum,2,,,False
58,10,5,gcd,,5,3,True
59,9,3,gcd,,3,5,True
60,10,5,gcd,,5,3,True
61,5,5,gcd,,5,3,True
62,11,1,quantum,2,5,3,True
63,4,1,quantum,2,3,5,True
64,13,1,quantum,4,3,5,True
65,12,3,gcd,,3,5,True
66,11,1,quantum,2,5,3,True
67,9,3,gcd,,3,5,True
68,8,1,quantum,4,3,5,True
69,12,3,gcd,,3,5,True
70,4,1,quantum,2,3,5,True
71,9,3,gcd,,3,5,True
72,9,3,gcd,,3,5,True
73,8,1,quantum,4,3,5,True
74,12,3,gcd,,3,5,True
75,11,1,quantum,2,5,3,True
76,14,1,quantum,2,,,False
77,3,3,gcd,,3,5,True
78,12,3,gcd,,3,5,True
79,2,1,quantum,4,3,5,True
80,2,1,quantum,4,3,5,True
81,10,5,gcd,,5,3,True
82,8,1,quantum,4,3,5,True
83,14,1,quantum,2,,,False
84,13,1,quantum,4,3,5,True
85,10,5,gcd,,5,3,True
86,14,1,quantum,2,,,False
87,4,1,quantum,2,3,5,True
88,3,3,gcd,,3,5,True
89,11,1,quantum,2,5,3,True
90,7,1,quantum,4,3,5,True
91,9,3,gcd,,3,5,True
92,3,3,gcd,,3,5,True
93,6,3,gcd,,3,5,True
94,12,3,gcd,,3,5,True
95,9,3,gcd,,3,5,True
96,3,3,gcd,,3,5,True
97,13,1,quantum,4,3,5,True
98,3,3,gcd,,3,5,True
99,13,1,quantum,4,3,5,True
100,13,1,quantum,4,3,5,True
101,7,1,quantum,4,3,5,True
102,2,1,quantum,4,3,5,True
103,13,1,quantum,4,3,5,True
104,12,3,gcd,,3,5,True
105,11,1,quantum,2,5,3,True
106,12,3,gcd,,3,5,True
107,3,3,gcd,,3,5,True
108,6,3,gcd,,3,5,True
109,6,3,gcd,,3,5,True
110,2,1,quantum,4,3,5,True
111,10,5,gcd,,5,3,True
112,13,1,quantum,4,3,5,True
113,14,1,quantum,2,,,False
114,2,1,quantum,4,3,5,True
115,10,5,gcd,,5,3,True
116,2,1,quantum,4,3,5,True
117,3,3,gcd,,3,5,True
118,11,1,quantum,2,5,3,True
119,2,1,quantum,4,3,5,True
120,6,3,gcd,,3,5,True
121,12,3,gcd,,3,5,True
122,5,5,gcd,,5,3,True
123,7,1,quantum,4,3,5,True
124,7,1,quantum,4,3,5,True
125,13,1,quantum,4,3,5,True
126,11,1,quantum,2,5,3,True
127,14,1,quantum,2,,,False
128,7,1,quantum,4,3,5,True
129,9,3,gcd,,3,5,True
130,9,3,gcd,,3,5,True
131,11,1,quantum,2,5,3,True
132,13,1,quantum,4,3,5,True
133,8,1,quantum,4,3,5,True
134,2,1,quantum,4,3,5,True
135,10,5,gcd,,5,3,True
136,2,1,quantum,4,3,5,True
137,14,1,quantum,2,,,False
138,3,3,gcd,,3,5,True
139,12,3,gcd,,3,5,True
140,3,3,gcd,,3,5,True
141,4,1,quantum,2,3,5,True
142,4,1,quantum,2,3,5,True
143,2,1,quantum,4,3,5,True
144,9,3,gcd,,3,5,True
145,8,1,quantum,4,3,5,True
146,10,5,gcd,,5,3,True
147,8,1,quantum,4,3,5,True
148,11,1,quantum,2,5,3,True
149,3,3,gcd,,3,5,True
150,4,1,quantum,2,3,5,True
151,2,1,quantum,4,3,5,True
152,14,1,quantum,2,,,False
153,8,1,quantum,4,3,5,True
154,5,5,gcd,,5,3,True
155,6,3,gcd,,3,5,True
156,2,1,quantum,4,3,5,True
157,4,1,quantum,2,3,5,True
158,6,3,gcd,,3,5,True
159,12,3,gcd,,3,5,True
160,3,3,gcd,,3,5,True
161,8,1,quantum,4,3,5,True
162,3,3,gcd,,3,5,True
163,11,1,quantum,2,5,3,True
164,11,1,quantum,2,5,3,True
165,8,1,quantum,4,3,5,True
166,10,5,gcd,,5,3,True
167,4,1,quantum,2,3,5,True
168,13,1,quantum,4,3,5,True
169,3,3,gcd,,3,5,True
170,6,3,gcd,,3,5,True
171,14,1,quantum,2,,,False
172,7,1,quantum,4,3,5,True
173,9,3,gcd,,3,5,True
174,11,1,quantum,2,5,3,True
175,11,1,quantum,2,5,3,True
176,5,5,gcd,,5,3,True
177,4,1,quantum,2,3,5,True
178,9,3,gcd,,3,5,True
179,6,3,gcd,,3,5,True
180,12,3,gcd,,3,5,True
181,3,3,gcd,,3,5,True
182,11,1,quantum,2,5,3,True
183,11,1,quantum,2,5,3,True
184,11,1,quantum,2,5,3,True
185,8,1,quantum,4,3,5,True
186,3,3,gcd,,3,5,True
187,11,1,quantum,2,5,3,True
188,13,1,quantum,4,3,5,True
189,10,5,gcd,,5,3,True
190,14,1,quantum,2,,,False
191,9,3,gcd,,3,5,True
192,3,3,gcd,,3,5,True
193,6,3,gcd,,3,5,True
194,4,1,quantum,2,3,5,True
195,9,3,gcd,,3,5,True
196,7,1,quantum,4,3,5,True
197,4,1,quantum,2,3,5,True
198,13,1,quantum,4,3,5,True
199,13,1,quantum,4,3,5,True
200,11,1,quantum,2,5,3,True
